School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Seneca,049718,New Riegel Local,<10
2017-2018 School Year,Licking,044453,Newark City,270
2017-2018 School Year,Tuscarawas,045542,Newcomerstown Exempted Village,22
2017-2018 School Year,Trumbull,045567,Newton Falls Exempted Village,24
2017-2018 School Year,Miami,048637,Newton Local,64
2017-2018 School Year,Trumbull,044495,Niles City,18
2017-2018 School Year,Noble,048900,Noble Local,11
2017-2018 School Year,Summit,050047,Nordonia Hills City,63
2017-2018 School Year,Wood,050708,North Baltimore Local,19
2017-2018 School Year,Stark,044503,North Canton City,87
2017-2018 School Year,Williams,050641,North Central Local,39
2017-2018 School Year,Hamilton,044511,North College Hill City,23
2017-2018 School Year,Licking,048025,North Fork Local,67
2017-2018 School Year,Cuyahoga,044529,North Olmsted City,41
2017-2018 School Year,Erie,125690,North Point Educational Service Center,<10
2017-2018 School Year,Lorain,044537,North Ridgeville City,79
2017-2018 School Year,Union,050336,North Union Local School District,52
2017-2018 School Year,Clark,046250,Northeastern Local,60
2017-2018 School Year,Defiance,046722,Northeastern Local,24
2017-2018 School Year,Perry,049056,Northern Local,76
2017-2018 School Year,Montgomery,048728,Northmont City,139
2017-2018 School Year,Morrow,048819,Northmor Local,40
2017-2018 School Year,Licking,048033,Northridge Local,88
2017-2018 School Year,Montgomery,048736,Northridge Local,19
2017-2018 School Year,Hamilton,047365,Northwest Local,170
2017-2018 School Year,Scioto,049635,Northwest Local,13
2017-2018 School Year,Stark,049908,Northwest Local,74
2017-2018 School Year,Fulton,124297,Northwest Ohio Educational Service Center,<10
2017-2018 School Year,Clark,046268,Northwestern Local,85
2017-2018 School Year,Wayne,050575,Northwestern Local,73
2017-2018 School Year,Summit,044552,Norton City,60
2017-2018 School Year,Huron,044560,Norwalk City,65
2017-2018 School Year,Wayne,050567,Norwayne Local,66
2017-2018 School Year,Hamilton,044578,Norwood City,27
2017-2018 School Year,Jackson,047761,Oak Hill Union Local,15
2017-2018 School Year,Hamilton,047373,Oak Hills Local,110
2017-2018 School Year,Montgomery,044586,Oakwood City,14
2017-2018 School Year,Lorain,044594,Oberlin City Schools,39
2017-2018 School Year,Franklin,071530,Ohio School For The Deaf,<10
